id,SIGLA,DESCRICAO
115,DOVC,DEPTO DE MANUTENCAO DE ESTRUTURA CIVIL - LINHAS 7/8 e 9
116,DOVD,DEPTO DE MANUTENCAO DE ESTRUTURA CIVIL - LINHAS 10/11/12 e 13
117,GOL,GERENCIA DE LOGISTICA
118,DOLA,DEPARTAMENTO DE ALMOXARIFADOS
119,DOLM,DEPARTAMENTO DE GESTAO E CADASTRO DE MATERIAIS
120,GOO,GERENCIA GERAL DE OPERACAO
121,DOOP,DEPARTAMENTO DE RELACIONAMENTO COM O PASSAGEIRO
122,GOC,GERENCIA DE CIRCULACAO E CONTROLE OPERACIONAL
123,DOCP,DEPTO DE CONTROLE OPERACIONAL
124,DOC1,DEPTO DE CIRCULACAO-LINHAS 7/10
125,DOC2,DEPTO DE CIRCULACAO-LINHAS 8/9
126,DOCT,DEPTO DE ESTRATEGIAS OPERACIONAIS
127,DOC3,DEPTO DE CIRCULACAO-LINHAS 11/12/13
128,GOS,GERENCIA DE SEGURANCA
129,DOSE,DEPTO DE EFETIVO E LOGISTICA
130,DOSV,DEPTO DE SEGURANCA E VIGILANCIA
131,GOG,GERENCIA DE ENGENHARIA DE OPERACAO
132,DOGI,DEPTO DE ENGENHARIA DE SISTEMAS E EQUIPAMENTOS
133,DOGC,DEPTO DE ENGENHARIA DE ESTACOES E COMUNICACAO
134,DOGB,DEPTO DE ENGENHARIA DE BILHETAGEM E ENERGIA ELETRICA
135,GOE,GERENCIA DE ESTACOES E SERVICOS
136,DOE1,DEPTO DE ESTACOES E SERVICOS - LINHAS 7/10
137,DOE2,DEPTO DE ESTACOES E SERVICOS - LINHAS 8/9
138,DOE3,DEPTO DE ESTACOES E SERVICOS - LINHAS 11/12/13
